game_lineups_id,game_id,type,number,player_id,player_name,team_captain,sub_position
f2570d1504fc02f4b6c7608e8dcf89a3,4087925,substitutes,34,242284,Ethan Horvath,0,Goalkeeper
f5f0da93ea8e1d8bdd799658e7c8f7cb,4087928,starting_lineup,13,145466,Tim Ream,0,Centre-Back
31a4d12ec23d604779d909d26c1b5410,4087929,substitutes,26,578539,Chris Richards,0,Centre-Back
776dcbef98651450db76723cb7e3b4df,4087935,substitutes,26,578539,Chris Richards,0,Centre-Back
6a35ef7495303f29e7f85dbd54547fb1,4087936,starting_lineup,13,145466,Tim Ream,1,Centre-Back
79f13b8f8974f3d2784da8650b7dde2b,4087940,substitutes,34,242284,Ethan Horvath,0,Goalkeeper
d1967adfd9b1b9392a501a93440db2bf,4087946,substitutes,26,578539,Chris Richards,0,Centre-Back
61ec0811d5a55262a125dc953c24db15,4087951,substitutes,34,242284,Ethan Horvath,0,Goalkeeper
57dc9dfdb49e8b9713afb8e179cd715f,4087958,substitutes,34,242284,Ethan Horvath,0,Goalkeeper
a669b5795aca67b256dc84996863f941,4087959,substitutes,26,578539,Chris Richards,0,Centre-Back
addb125dd200e12a54c97d7641e48262,4087962,starting_lineup,13,145466,Tim Ream,0,Centre-Back
8031bd2bba214325c22289a00d8d37e2,4087965,starting_lineup,26,578539,Chris Richards,0,Centre-Back
676c4f6a1bf31a336805172dc7b0d449,4087973,starting_lineup,13,145466,Tim Ream,1,Centre-Back
943246751982b2a3cb4a814bf84d9b2f,4088587,starting_lineup,37,161204,Julian Green,0,Defensive Midfield
8227f66bc189610b7f2a046570de5088,4088593,starting_lineup,13,103064,Terrence Boyd,0,Centre-Forward
779c5ab7a383488699e6cd77743096ac,4088600,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
8a3793349848f784fe84c1a223780ed1,4088606,substitutes,45,355369,Jordan,0,Centre-Forward
864453d55950620adf76d87d00841197,4089287,substitutes,17,542776,Jonathan Amon,0,Left Winger
f03ac0f6ec68164e5ebc79324a2fd097,4089522,substitutes,17,542776,Jonathan Amon,0,Left Winger
062e1aaf59eff3c72cb1c27fcffb7658,4089528,substitutes,17,542776,Jonathan Amon,0,Left Winger
1798fee259a54b085b5c4ef01b7797cf,4089533,substitutes,17,542776,Jonathan Amon,0,Left Winger
c9a86ed7d3a2327988db9c6c680e2f59,4089534,substitutes,23,544931,Christian Cappis,0,Central Midfield
11d2e380857d42729a4f60e9f55c24fc,4089539,substitutes,17,542776,Jonathan Amon,0,Left Winger
0233c196df35b0789818a9673d7f6120,4089542,substitutes,23,544931,Christian Cappis,0,Central Midfield
89aed165f9eeb67b0fdf391b36e5e91f,4089544,substitutes,17,542776,Jonathan Amon,0,Left Winger
eb382c55ce375c2f780e73bc05233342,4089550,substitutes,17,542776,Jonathan Amon,0,Left Winger
8f3c9faccb1500f2862a15d7d3dd358a,4089557,substitutes,17,542776,Jonathan Amon,0,Left Winger
f52041e6a6d379cad7c8c1b8aea8aa37,4089566,substitutes,17,542776,Jonathan Amon,0,Left Winger
044867a2da7c0db524ac14b9554e4530,4089572,substitutes,17,542776,Jonathan Amon,0,Left Winger
57e3f63e1dce77859c445b106339fe65,4090200,substitutes,17,542776,Jonathan Amon,0,Left Winger
e34b18c4809ab15bb319f8ae7a2d017d,4090217,substitutes,17,542776,Jonathan Amon,0,Left Winger
6cfe64023dc5dde10d30a425a7d16478,4090221,starting_lineup,17,542776,Jonathan Amon,0,Left Winger
b98267b3d4d1d410e2f1c6fe77edc03b,4090229,starting_lineup,17,542776,Jonathan Amon,0,Centre-Forward
368389f138785a44c736687b9d581a40,4094594,substitutes,99,381187,Emmanuel Sabbi,0,Right Winger
d1b0127445a661e24f1852494f9aa754,4094598,substitutes,99,381187,Emmanuel Sabbi,0,Right Winger
3b8cab6fe74dde56f0f448569a48e7e3,4094611,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
0aff78904ab15b833a9c6a95a469d00f,4094619,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
3f388d503b139ba46e9426d2b64258e4,4094628,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
05e868cbbbe102b7b2603a9eb1de834e,4094640,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
403348842dd84ae73d4c3808d57e050e,4094643,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
f51a3aff3286c0c145be9b56208ffd4c,4094658,starting_lineup,11,381187,Emmanuel Sabbi,0,Attacking Midfield
a1d3c28570924abef34d61665c576629,4094665,starting_lineup,11,381187,Emmanuel Sabbi,0,Right Winger
6aaf528126b0a0ede72110515d724176,4094670,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
b910cf28c04153780fcec49cd738e052,4094682,substitutes,11,381187,Emmanuel Sabbi,0,Right Winger
081e1fc1a2cd381ce391f72f684d37f6,4095067,substitutes,26,578539,Chris Richards,0,Centre-Back
c9f5beaabc78ca5082c8c0910e40e196,4095067,starting_lineup,13,145466,Tim Ream,1,Centre-Back
1ac35d72d3ef4fccfe6248c92e38a0db,4095139,starting_lineup,13,145466,Tim Ream,1,Centre-Back
67bb83fa800a8f06375a9732792f5f4d,4095140,substitutes,26,578539,Chris Richards,0,Centre-Back
d7e7732f110787ca5122a4f4fd86dbb6,4095149,substitutes,26,578539,Chris Richards,0,Centre-Back
29551a86e43235fd856fa910dbfb75c7,4095151,starting_lineup,13,145466,Tim Ream,1,Centre-Back
612e501a8637c14ec29c3de1f416c597,4095162,substitutes,26,578539,Chris Richards,0,Centre-Back
