game_event_id,date,game_id,minute,type,player_id,description,player_in_id
c6a3c088ed8a38d4ce074dd73b20d3da,2012-08-19,2221641,62,Substitutions,1335,", Not reported",45668
02d605a5c2dc4f9a6721daa583fa5405,2012-08-26,2222536,54,Cards,1321,"1. Yellow card  , Foul",0
b56c2e2e087cddb3cfe9e3d340975df9,2012-11-18,2222707,79,Substitutions,104203,", Tactical",25740
4a15d1fff4f476f48bb60092c61641d5,2012-11-23,2222721,72,Substitutions,104203,", Tactical",15583
daa97877f7edf2fda885b411d7197921,2013-05-17,2222782,63,Goals,104203,", Right-footed shot, 1. Goal of the Season Assist: , Pass, 2. Assist of the Season",0
14f0145bb64400e5cdf7152d7061eb33,2013-05-17,2222782,90,Goals,104203,", Right-footed shot, 2. Goal of the Season Assist: , Pass, 1. Assist of the Season",0
a9c8a9b0ed6ee7d1b883548af28da8f6,2013-04-14,2222798,65,Substitutions,104203,", Tactical",15008
3ad97a67c7a41764b085768131777810,2012-08-26,2224538,86,Cards,39467,"4. Yellow card  , Professional foul",0
94cad147664f8038e4ea3e89e7998e13,2012-08-20,2224540,56,Goals,161244,", Long distance kick, 2. Goal of the Season Assist:",0
81902eb493a048e86f7392f455af9bcf,2012-08-27,2224542,32,Goals,119169,", Left-footed shot, 2. Goal of the Season Assist: , Cross, 1. Assist of the Season",0
9fbfdf5fd40f33496d1edcb8f87374c3,2012-08-27,2224542,33,Goals,119169,", Tap-in, 3. Goal of the Season Assist: , Pass, 2. Assist of the Season",0
f16b651cdb8e4b2eef529497d4cb3f00,2012-08-27,2224542,36,Goals,119169,", Tap-in, 4. Goal of the Season Assist: , Pass, 3. Assist of the Season",0
23e2c07fa4ce8ab0fad457d29cd4eb59,2012-08-27,2224542,48,Goals,119169,", Penalty, 5. Goal of the Season Assist: , Fouled player",0
2e6fd0174a945f005031315466a9a3e0,2012-08-27,2224542,68,Substitutions,119169,", Tactical",27644
4ed090117a8b9fe19cacc8d0bdcbc66e,2012-09-15,2224551,45,Goals,39897,", Left-footed shot, 3. Goal of the Season Assist: , Pass, 2. Assist of the Season",0
13fdf2b1c724ab98a3eff5fdaa603b84,2012-09-21,2224552,48,Goals,119169,", Right-footed shot, 10. Goal of the Season Assist: , Pass, 3. Assist of the Season",0
c2030e8b67ca1d947106ee9f9b63c507,2012-09-21,2224552,65,Goals,161244,", Left-footed shot, 3. Goal of the Season Assist: , Pass, 1. Assist of the Season",0
8b4e98de22cbbc3a1114ffed83d429e3,2012-09-01,2224556,12,Goals,119169,", Tap-in, 6. Goal of the Season Assist: , Pass, 2. Assist of the Season",0
b44e39644efcd9142593acd4159dbdf4,2012-09-01,2224556,45,Goals,119169,", Tap-in, 7. Goal of the Season Assist: , Shot on goal, 3. Assist of the Season",0
9ee50e30ff91353759939901429500db,2012-09-01,2224556,52,Substitutions,119169,", Resting",1197
8667b0a14a41d2a9371e559e01419bbe,2012-09-17,2224557,11,Goals,119169,", Tap-in, 8. Goal of the Season Assist: , Shot on goal, 2. Assist of the Season",0
3db81f2d151651ddafebe53ccfdea436,2012-09-17,2224557,71,Goals,119169,", Right-footed shot, 9. Goal of the Season Assist: , Pass, 1. Assist of the Season",0
7ed1c8d48d44a78b82836357cc21bdad,2012-09-22,2224558,82,Substitutions,39897,", Tactical",89205
e7631c64f9a922d4370ba6db39ccbfac,2012-07-22,2224560,60,Cards,39467,"1. Yellow card  , Foul",0
8738b3e2236da2abc6f8aca0100ba7ac,2012-09-23,2224563,90,Cards,39467,"Red card  , Violent conduct",0
9621a6320b0beadb5c5d223b8654373d,2012-07-29,2224567,56,Substitutions,119169,", Tactical",1197
1b4e309dd87c3a8f86e0675b9b29d36c,2012-07-23,2224568,73,Substitutions,119169,", Tactical",24282
abe3da42c64790a4c4ae00ff82c3024f,2012-07-22,2224569,68,Cards,161244,"1. Yellow card  , Foul",0
9603911b1e8afe70b1924750996c1ae9,2012-07-30,2224570,38,Cards,39467,"2. Yellow card  , Foul",0
6d6e1eb0eef299fa3d4106ab472ab7fe,2012-07-29,2224574,75,Cards,39897,"1. Yellow card  , Foul",0
930c3a66715bc3968a5f7587bfef88b5,2012-07-29,2224574,78,Substitutions,39897,", Tactical",89205
42a09933c2dd9f88dc544e3284896433,2012-08-06,2224575,85,Substitutions,161244,", Tactical",50628
9179f070b0096e2a7685ed39ff26b11d,2012-08-04,2224578,73,Cards,39897,"2. Yellow card  , Foul",0
8253e93fdcad92645ed73dbc09381a16,2012-08-12,2224579,25,Cards,161244,"2. Yellow card  , Foul",0
0e880f8c61613ad37a330379638640bf,2012-08-05,2224580,24,Cards,39467,"3. Yellow card  , Foul",0
53700788fcfb9c7ae036fc2adf78d25c,2012-08-05,2224580,62,Goals,119169,", Tap-in, 1. Goal of the Season Assist:",0
e48007f058a806ffdc21b83b97415ab8,2012-08-05,2224580,74,Substitutions,119169,", Tactical",155617
d1a328ec88979fa88b9f76c2bc5c1a25,2012-08-12,2224582,66,Substitutions,119169,", Not reported",1197
e832a99027c41d0826b28caf374a4fa6,2012-08-11,2224583,6,Goals,39897,", 1. Goal of the Season Assist:",0
dd5f0c7b3375960d47111676bcc3240c,2012-10-22,2224587,63,Substitutions,119169,", Tactical",87142
01b4b92a26f2f065a0112770ead65cb3,2012-08-18,2224590,84,Goals,39467,", Header, 1. Goal of the Season Assist: , Cross, 1. Assist of the Season",0
e4f7e407e87b3473c275b868138646f7,2012-08-19,2224591,75,Goals,39897,", Left-footed shot, 2. Goal of the Season Assist: , Pass, 2. Assist of the Season",0
